StartDate,EndDate,Status_x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,1.1,1.2,1.3,Q33,4.1,4.2,8.1,8.2,5.1,5.2,6.1,6.2,7.1,7.2,3.1,3.2,10.1,10.2,9.1,9.2,PROLIFIC_PID,Submission id,Participant id,Status_y,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Religious affiliation,Participation in regular religious activities,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
1/15/2025 1:19,1/15/2025 1:22,IP Address,103.158.171.92,100,165,TRUE,1/15/2025 1:22,R_46GnzyKMjoymvwB,,,,,28.652,77.1663,anonymous,ZH-T,66c9aba8bc7e23c48f19cdc8,strongly believe,graduate school (postgraduate),Daily or more,Yes,remain the same,remain the same,may decrease,very likely to increase,may decrease,very likely to increase,remain the same,may increase,will definitely increase,may increase,definitely increase,very likely to increase,very likely to increase,remain the same,may decrease,may increase,66c9aba8bc7e23c48f19cdc8,67875363b72bf91622236dda,66c9aba8bc7e23c48f19cdc8,APPROVED,Not Applicable,2025-01-15T06:19:15.950000Z,2025-01-15T06:22:47.385000Z,2025-01-26T04:03:10.029000Z,2025-01-15T06:22:48.020568Z,212,NOCODE,89,"English, Hindi",Hinduism,Yes. Both public and private,41,Female,Asian,India,India,India,English,No,Full-Time
1/15/2025 1:15,1/15/2025 1:23,IP Address,84.55.13.187,100,509,TRUE,1/15/2025 1:23,R_2O21xIwmWd47Ib2,,,,,53.481,-2.2367,anonymous,ZH-T,6769489d3116183a851e8728,somewhat believe,undergraduate (college/University),Once a few months,Yes,very likely to increase,may increase,very likely to decrease,may increase,very likely to increase,very likely to increase,definitely increase,definitely increase,very likely to increase,remain the same,very likely to increase,very likely to increase,may increase,very likely to increase,may decrease,definitely increase,6769489d3116183a851e8728,6787524cb56713ac675fdff7,6769489d3116183a851e8728,APPROVED,Not Applicable,2025-01-15T06:15:12.036000Z,2025-01-15T06:24:15.394000Z,2025-01-26T04:03:09.457000Z,2025-01-15T06:24:16.045307Z,544,NOCODE,32,English,Hinduism,Yes. Both public and private,21,Female,Black,Kenya,United Kingdom,United Kingdom,English,Yes,Full-Time
1/15/2025 1:28,1/15/2025 1:30,IP Address,47.7.39.210,100,104,TRUE,1/15/2025 1:30,R_3ebw77ngLICyC6I,,,,,36.3171,-121.2391,anonymous,ZH-T,6527f153bea7b2d7c0d556e4,strongly believe,high school,Daily or more,Yes,remain the same,may decrease,definitely decrease,very likely to decrease,may decrease,may decrease,remain the same,may increase,will definitely increase,definitely increase,very likely to increase,may increase,remain the same,remain the same,very likely to decrease,may decrease,6527f153bea7b2d7c0d556e4,6787557b7a955179dc3a6fea,6527f153bea7b2d7c0d556e4,APPROVED,Not Applicable,2025-01-15T06:28:45.277000Z,2025-01-15T06:30:37.436000Z,2025-01-26T04:03:10.307000Z,2025-01-15T06:30:37.975329Z,113,NOCODE,1358,English,Hinduism,Yes. Both public and private,20,Male,Asian,United States,United States,India,English,Yes,Part-Time
1/15/2025 1:28,1/15/2025 1:31,IP Address,197.255.153.222,100,141,TRUE,1/15/2025 1:31,R_2SBLpjO2BXhYIVp,,,,,-33.9304,18.846,anonymous,ZH-T,61649f39b3155900189833cb,strongly believe,high school,Daily or more,Yes,very likely to decrease,may increase,may decrease,may increase,very likely to decrease,may decrease,very likely to increase,remain the same,may increase,may decrease,definitely increase,very likely to increase,very likely to increase,may increase,very likely to decrease,may decrease,61649f39b3155900189833cb,678755810a6b454db52656b8,61649f39b3155900189833cb,APPROVED,Not Applicable,2025-01-15T06:28:23.497000Z,2025-01-15T06:31:24.965000Z,2025-01-26T04:03:10.601000Z,2025-01-15T06:31:25.533498Z,182,NOCODE,347,"Afrikaans, English",Hinduism,Yes. Both public and private,37,Female,Asian,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
1/15/2025 1:35,1/15/2025 1:43,IP Address,49.207.204.154,100,472,TRUE,1/15/2025 1:43,R_4TRygfvrBDVmaep,,,,,12.9634,77.5855,anonymous,ZH-T,66c9b94ff65ce8c9a73d175f,strongly believe,graduate school (postgraduate),Daily or more,Yes,remain the same,very likely to increase,may decrease,may decrease,remain the same,may increase,definitely increase,definitely increase,will definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,may decrease,may decrease,66c9b94ff65ce8c9a73d175f,678757320dccb69b974ed36c,66c9b94ff65ce8c9a73d175f,APPROVED,Not Applicable,2025-01-15T06:35:40.705000Z,2025-01-15T06:44:44.648000Z,2025-01-26T04:03:10.887000Z,2025-01-15T06:44:45.281818Z,544,NOCODE,35,"English, Tamil",Hinduism,Yes. Both public and private,37,Female,Asian,India,India,India,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
1/15/2025 1:42,1/15/2025 1:46,IP Address,223.186.156.233,100,266,TRUE,1/15/2025 1:46,R_4I5XGT8PgUxIRsK,,,,,12.9634,77.5855,anonymous,ZH-T,65fab1a77672377838371d0a,somewhat believe,undergraduate (college/University),Once a month,Yes,remain the same,may increase,remain the same,remain the same,may decrease,may increase,definitely increase,definitely increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,may increase,remain the same,may decrease,very likely to increase,65fab1a77672377838371d0a,678758c8927bff134b805171,65fab1a77672377838371d0a,APPROVED,Not Applicable,2025-01-15T06:42:26.809000Z,2025-01-15T06:47:38.478000Z,2025-01-26T04:03:11.176000Z,2025-01-15T06:47:39.267216Z,312,NOCODE,214,"English, Hindi, Telugu, Other",Hinduism,Yes. Both public and private,24,Male,Asian,India,India,India,Telugu,No,Full-Time
1/15/2025 1:51,1/15/2025 2:00,IP Address,152.58.59.23,100,566,TRUE,1/15/2025 2:00,R_4U3CqhUc7r00AVY,,,,,23.2487,77.4066,anonymous,ZH-T,65fab70cfbc6514a197ee4b6,strongly believe,graduate school (postgraduate),Daily or more,Yes,remain the same,remain the same,definitely decrease,very likely to decrease,definitely decrease,very likely to decrease,definitely increase,definitely increase,very likely to increase,very likely to increase,may increase,remain the same,remain the same,remain the same,may decrease,may decrease,65fab70cfbc6514a197ee4b6,67875aac10fcb596ca7017ca,65fab70cfbc6514a197ee4b6,APPROVED,Not Applicable,2025-01-15T06:50:46.904000Z,2025-01-15T07:01:17.556000Z,2025-01-26T04:03:11.457000Z,2025-01-15T07:01:18.527008Z,631,NOCODE,123,"English, Hindi",Hinduism,Yes. Both public and private,26,Male,Asian,India,India,India,Hindi,Yes,Unemployed (and job seeking)
1/15/2025 2:03,1/15/2025 2:07,IP Address,49.43.230.85,100,234,TRUE,1/15/2025 2:07,R_4UbD5fjeYqYviJi,,,,,17.3724,78.4378,anonymous,ZH-T,664b31793e9619258b204011,somewhat believe,undergraduate (college/University),Once a week,Yes,may decrease,may decrease,may decrease,remain the same,may decrease,may decrease,very likely to increase,may increase,may increase,may increase,very likely to increase,definitely increase,definitely increase,definitely increase,may decrease,may decrease,664b31793e9619258b204011,67875db21286c8386e00b689,664b31793e9619258b204011,APPROVED,Not Applicable,2025-01-15T07:03:21.608000Z,2025-01-15T07:07:43.995000Z,2025-01-26T04:03:11.742000Z,2025-01-15T07:07:44.499591Z,263,NOCODE,169,"English, Hindi, Telugu",Hinduism,Yes. Both public and private,26,Female,Asian,India,India,India,Telugu,No,Full-Time
1/15/2025 2:08,1/15/2025 2:13,IP Address,98.97.61.201,100,295,TRUE,1/15/2025 2:13,R_6H6K9Vs8YnUsiTT,,,,,34.0544,-118.2441,anonymous,ZH-T,673674170c987b500401215f,somewhat believe,graduate school (postgraduate),2-3 times a year,Yes,remain the same,very likely to increase,definitely decrease,may decrease,very likely to decrease,may decrease,definitely increase,very likely to increase,will definitely increase,remain the same,definitely increase,remain the same,definitely increase,very likely to increase,may decrease,may increase,673674170c987b500401215f,67875efdf5f96d829af25114,673674170c987b500401215f,APPROVED,Not Applicable,2025-01-15T07:08:49.882000Z,2025-01-15T07:14:30.730000Z,2025-01-26T04:03:12.033000Z,2025-01-15T07:14:31.524504Z,341,NOCODE,111,English,Hinduism,Yes. Both public and private,28,Female,Asian,India,United States,India,Hindi,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
1/15/2025 2:19,1/15/2025 2:22,IP Address,106.221.194.182,100,209,TRUE,1/15/2025 2:22,R_4pyQ85ziMOouMBt,,,,,12.9634,77.5855,anonymous,ZH-T,66c600f96336ebf638da3d2b,strongly believe,undergraduate (college/University),Once a week,Yes,very likely to decrease,may decrease,definitely decrease,may decrease,very likely to decrease,may increase,very likely to increase,may increase,will definitely increase,definitely increase,definitely increase,may increase,very likely to increase,may increase,very likely to decrease,may decrease,66c600f96336ebf638da3d2b,678761435635d3351998df30,66c600f96336ebf638da3d2b,APPROVED,Not Applicable,2025-01-15T07:18:57.373000Z,2025-01-15T07:23:01.316000Z,2025-01-26T04:03:12.753000Z,2025-01-15T07:23:02.313980Z,244,NOCODE,72,"English, Hindi",Hinduism,Yes. Both public and private,21,Female,Asian,India,India,India,Hindi,Yes,Other
1/15/2025 2:23,1/15/2025 2:26,IP Address,106.196.16.32,100,179,TRUE,1/15/2025 2:26,R_4AMtaWSeQblqrCg,,,,,12.9634,77.5855,anonymous,ZH-T,65fae6b84fa6b3101d2ca4b1,somewhat believe,undergraduate (college/University),Once a few months,Yes,may decrease,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,very likely to increase,may decrease,may decrease,definitely increase,remain the same,definitely increase,definitely increase,very likely to decrease,definitely decrease,65fae6b84fa6b3101d2ca4b1,67876248621a9c066c5371ae,65fae6b84fa6b3101d2ca4b1,APPROVED,Not Applicable,2025-01-15T07:22:55.053000Z,2025-01-15T07:26:41.404000Z,2025-01-26T04:03:13.058000Z,2025-01-15T07:26:42.082301Z,227,NOCODE,272,"English, Hindi",Hinduism,Yes. Both public and private,21,Male,Asian,India,India,India,English,Yes,Due to start a new job within the next month
1/15/2025 2:29,1/15/2025 2:31,IP Address,102.134.243.224,100,140,TRUE,1/15/2025 2:31,R_8wdVGGufTIJ3go9,,,,,-26.0964,27.991,anonymous,ZH-T,67443f9c322936d6e0fa4d52,strongly believe,undergraduate (college/University),Once a week,Yes,remain the same,remain the same,may decrease,may decrease,very likely to decrease,may decrease,definitely increase,remain the same,will definitely increase,definitely increase,very likely to increase,very likely to increase,definitely increase,definitely increase,may decrease,very likely to decrease,67443f9c322936d6e0fa4d52,678763b3f6103eb9ae00ba37,67443f9c322936d6e0fa4d52,APPROVED,Not Applicable,2025-01-15T07:28:57.934000Z,2025-01-15T07:31:51.788000Z,2025-01-26T04:03:13.342000Z,2025-01-15T07:31:52.366612Z,174,"Thank you for taking the time to complete this survey. If you have any questions or concerns, please email zehong@um.edu.mo",7,English,Hinduism,Yes. Both public and private,27,Male,Asian,South Africa,South Africa,South Africa,English,Yes,Full-Time
1/15/2025 2:29,1/15/2025 2:37,IP Address,152.58.19.176,100,472,TRUE,1/15/2025 2:37,R_4F4JWaAmucaRHV3,,,,,18.6161,73.7286,anonymous,ZH-T,65f54fc549034aba6be10bba,unsure,graduate school (postgraduate),Once a week,Yes,remain the same,remain the same,may decrease,may increase,may decrease,may increase,may increase,may increase,may increase,may increase,may increase,may increase,may increase,may increase,may decrease,may increase,65f54fc549034aba6be10bba,678763c02781b1c53cca1f91,65f54fc549034aba6be10bba,APPROVED,Not Applicable,2025-01-15T07:29:11.322000Z,2025-01-15T07:37:47.404000Z,2025-01-26T04:03:13.667000Z,2025-01-15T07:37:48.207243Z,517,C1NG3O3J,72,"English, Hindi",Hinduism,Yes. Both public and private,34,Male,Asian,India,India,India,English,No,DATA_EXPIRED
1/15/2025 2:34,1/15/2025 2:40,IP Address,2.126.91.114,100,355,TRUE,1/15/2025 2:40,R_25RsJvBUSXtSetW,,,,,51.6192,-0.3247,anonymous,ZH-T,672662cad8da4a990ea4bb95,somewhat believe,graduate school (postgraduate),Once a week,Yes,may decrease,remain the same,may decrease,definitely increase,may decrease,definitely increase,definitely increase,definitely increase,may decrease,definitely increase,remain the same,remain the same,may decrease,remain the same,may decrease,definitely increase,672662cad8da4a990ea4bb95,6787651c01432c7df84ecead,672662cad8da4a990ea4bb95,APPROVED,Not Applicable,2025-01-15T07:34:52.732000Z,2025-01-15T07:41:10.245000Z,2025-01-26T04:03:14.350000Z,2025-01-15T07:41:10.826132Z,378,NOCODE,92,"English, Hindi",Hinduism,Yes. Both public and private,45,Male,Asian,India,United Kingdom,India,English,No,Full-Time
1/15/2025 2:34,1/15/2025 2:46,IP Address,152.59.104.207,100,712,TRUE,1/15/2025 2:46,R_4hBkSZdL4EtdSFa,,,,,26.2692,73.009,anonymous,ZH-T,65f34ad95a4680b824d01a83,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,remain the same,may decrease,may decrease,may decrease,may decrease,definitely increase,may increase,very likely to increase,may increase,definitely increase,definitely increase,very likely to increase,very likely to increase,may decrease,may decrease,65f34ad95a4680b824d01a83,678765020e45ee198a114daa,65f34ad95a4680b824d01a83,APPROVED,Not Applicable,2025-01-15T07:34:35.317000Z,2025-01-15T07:46:57.053000Z,2025-01-26T04:03:14.055000Z,2025-01-15T07:46:57.942601Z,742,NOCODE,302,"English, Hindi",Hinduism,Yes. Both public and private,26,Male,Asian,India,India,India,English,DATA_EXPIRED,Part-Time
1/15/2025 2:41,1/15/2025 2:48,IP Address,49.206.119.174,100,463,TRUE,1/15/2025 2:48,R_4I4tXq2A6nmDSJW,,,,,11.0142,76.9941,anonymous,ZH-T,65fd92cb29dfbf197b834a1b,strongly believe,graduate school (postgraduate),Daily or more,Yes,remain the same,remain the same,definitely increase,definitely increase,may decrease,remain the same,definitely increase,definitely increase,will definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,remain the same,definitely increase,65fd92cb29dfbf197b834a1b,67876684328b728917b91874,65fd92cb29dfbf197b834a1b,APPROVED,Not Applicable,2025-01-15T07:40:59.982000Z,2025-01-15T07:48:58.595000Z,2025-01-26T04:03:14.656000Z,2025-01-15T07:48:59.685441Z,479,NOCODE,107,"English, Tamil",Hinduism,Yes. Both public and private,43,Female,Asian,India,India,India,English,No,Full-Time
1/15/2025 2:45,1/15/2025 2:53,IP Address,41.150.34.141,100,463,TRUE,1/15/2025 2:53,R_8nJKSr97OX6908o,,,,,-26.0964,27.991,anonymous,ZH-T,674cac6cce0a24409995a30f,strongly disbelieve,undergraduate (college/University),Daily or more,Yes,remain the same,may increase,remain the same,very likely to increase,remain the same,may increase,definitely increase,definitely increase,may increase,definitely increase,remain the same,definitely increase,definitely increase,definitely increase,remain the same,definitely increase,674cac6cce0a24409995a30f,67876741ed437ef0f0ca83cc,674cac6cce0a24409995a30f,APPROVED,Not Applicable,2025-01-15T07:45:14.394000Z,2025-01-15T08:00:00.620000Z,2025-01-26T04:03:14.955000Z,2025-01-15T08:00:01.736854Z,887,NOCODE,42,"Afrikaans, Albanian, Arabic, Armenian, Bulgarian, Chinese, Croatian, Catalan, Dutch, English, Estonian, French, Galician, German, Greek, Hebrew, Hindi, Hungarian, Italian, Japanese, Korean, Laotian, Latvian, Malay, Lithuanian, Norwegian, Polish, Portuguese, Romanian, Slovak, Slovenian, Spanish, Swedish, Thai, Tibetan, Turkish, Ukrainian, Vietnamese, Cantonese, Mandarin, Malayalam",Hinduism,Yes. Both public and private,38,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
1/15/2025 2:51,1/15/2025 2:54,IP Address,37.203.155.28,100,171,TRUE,1/15/2025 2:54,R_8jdZJyN23W1kZk4,,,,,52.6049,-1.1488,anonymous,ZH-T,6132111b5009ce6f407e6efc,strongly believe,undergraduate (college/University),Once a week,Yes,very likely to decrease,may decrease,very likely to decrease,very likely to decrease,definitely decrease,definitely decrease,definitely increase,definitely increase,will definitely increase,very likely to increase,definitely increase,definitely increase,may increase,definitely increase,definitely decrease,definitely decrease,6132111b5009ce6f407e6efc,6787690181f4ea0f7f327c41,6132111b5009ce6f407e6efc,APPROVED,Not Applicable,2025-01-15T07:51:29.366000Z,2025-01-15T07:55:00.547000Z,2025-01-26T04:03:15.872000Z,2025-01-15T07:55:01.211371Z,212,NOCODE,462,"English, Hindi, Gujarati",Hinduism,Yes. Both public and private,21,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
1/15/2025 2:49,1/15/2025 2:55,IP Address,120.60.123.39,100,325,TRUE,1/15/2025 2:55,R_4RaL8dtElERs3Xl,,,,,11.6602,78.1532,anonymous,ZH-T,65fc44d0e156b7aa04696aa6,somewhat believe,undergraduate (college/University),Once a week,Yes,remain the same,may decrease,very likely to decrease,remain the same,remain the same,remain the same,may increase,remain the same,remain the same,remain the same,remain the same,remain the same,may increase,remain the same,may decrease,stay the same,65fc44d0e156b7aa04696aa6,6787688b4ae3c18c2bad73c9,65fc44d0e156b7aa04696aa6,APPROVED,Not Applicable,2025-01-15T07:49:42.165000Z,2025-01-15T07:55:35.008000Z,2025-01-26T04:03:15.282000Z,2025-01-15T07:55:35.559137Z,353,NOCODE,95,"Tamil, English",Hinduism,Yes. Both public and private,34,Male,Asian,India,India,India,Tamil,No,Part-Time
1/15/2025 3:00,1/15/2025 3:03,IP Address,152.59.14.183,100,204,TRUE,1/15/2025 3:03,R_4j6AGX8M5DH010v,,,,,22.4667,70.0644,anonymous,ZH-T,65f473545fbf82f0d5de1b4c,somewhat believe,undergraduate (college/University),2-3 times a year,Yes,remain the same,may increase,may decrease,may decrease,may decrease,may decrease,may increase,very likely to increase,remain the same,may increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,may decrease,may decrease,65f473545fbf82f0d5de1b4c,67876b156e636fc038236f78,65f473545fbf82f0d5de1b4c,APPROVED,Not Applicable,2025-01-15T08:00:21.742000Z,2025-01-15T08:04:20.480000Z,2025-01-26T04:03:16.784000Z,2025-01-15T08:04:21.518390Z,239,NOCODE,76,"English, Hindi",Hinduism,Yes. Both public and private,23,Male,Asian,India,India,India,Hindi,No,DATA_EXPIRED
