,StartDate,EndDate,Status_x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,1.1,1.2,1.3,Q33,4.1,4.2,8.1,8.2,5.1,5.2,6.1,6.2,7.1,7.2,3.1,3.2,10.1,10.2,9.1,9.2,PROLIFIC_PID,Submission id,Participant id,Status_y,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Religious affiliation,Participation in regular religious activities,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
10,2025-03-04 05:38:04,2025-03-04 05:53:06,IP Address,105.245.231.179,100,901,True,2025-03-04 05:53:06,R_2Anmp7EEGWIGSoV,,,,,-33.9258,18.4259,anonymous,ZH-T,67895c93d815b5157dfd15e2,strongly believe,undergraduate (college/University),Once a few months,Yes,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,may increase,remain the same,may increase,remain the same,may increase,may increase,very likely to increase,may increase,remain the same,remain the same,67895c93d815b5157dfd15e2,67c6d7d0e98cda770ae6ca1c,67895c93d815b5157dfd15e2,AWAITING REVIEW,Not Applicable,2025-03-04T10:37:58.894000Z,2025-03-04T10:53:48.053000Z,,2025-03-04T10:53:48.760957Z,950.0,NOCODE,8,"Afrikaans, English, German, French",Hinduism,Yes. Both public and private,24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
11,2025-03-04 05:50:42,2025-03-04 05:53:23,IP Address,49.36.222.100,100,160,True,2025-03-04 05:53:23,R_9GCy5IhiJVa7Gqe,,,,,27.8796,78.0762,anonymous,ZH-T,65fb0cd08626e511f3eafccb,somewhat believe,undergraduate (college/University),Once a week,Yes,remain the same,may decrease,very likely to decrease,may decrease,very likely to decrease,very likely to decrease,very likely to increase,very likely to increase,very likely to increase,may increase,may increase,may increase,remain the same,may increase,very likely to decrease,may decrease,65fb0cd08626e511f3eafccb,67c6daf52f7410611a406093,65fb0cd08626e511f3eafccb,AWAITING REVIEW,Not Applicable,2025-03-04T10:50:39.180000Z,2025-03-04T10:55:33.905000Z,,2025-03-04T10:55:34.551001Z,295.0,NOCODE,298,"English, Hindi",Hinduism,Yes. Public only,19,Male,Asian,India,India,India,English,Yes,Full-Time
12,2025-03-04 05:45:32,2025-03-04 05:53:37,IP Address,169.0.211.248,100,485,True,2025-03-04 05:53:37,R_2GqFn1rpFNLEU9P,,,,,-25.8776,28.1682,anonymous,ZH-T,5fcbb598516103930bd22135,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,5fcbb598516103930bd22135,67c6d9ab83f05b01d4d93977,5fcbb598516103930bd22135,AWAITING REVIEW,Not Applicable,2025-03-04T10:45:22.076000Z,2025-03-04T10:54:19.691000Z,,2025-03-04T10:54:20.413327Z,538.0,NOCODE,350,"English, Tamil, Malayalam, Gujarati, Hindi",Hinduism,Yes. Private only,52,Female,Asian,India,South Africa,India,English,No,DATA_EXPIRED
13,2025-03-04 05:54:22,2025-03-04 05:57:27,IP Address,86.186.36.202,100,185,True,2025-03-04 05:57:28,R_2onXw6d3mw1XqNJ,,,,,51.4968,-0.3776,anonymous,ZH-T,5d869d0f2393700001ef8039,somewhat believe,undergraduate (college/University),2-3 times a year,Yes,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,may increase,may increase,remain the same,remain the same,5d869d0f2393700001ef8039,67c6dbd61f224a77d1a71069,5d869d0f2393700001ef8039,AWAITING REVIEW,Not Applicable,2025-03-04T10:54:20.776000Z,2025-03-04T10:57:55.553000Z,,2025-03-04T10:57:56.103109Z,215.0,NOCODE,352,"English, Hindi",Hinduism,Yes. Both public and private,25,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
14,2025-03-04 05:58:41,2025-03-04 06:01:31,IP Address,89.128.48.223,100,169,True,2025-03-04 06:01:31,R_8pSrxaAax2Bo7g5,,,,,41.6316,1.8627,anonymous,ZH-T,665e3482ce6f4a9b35f68f9a,strongly believe,graduate school (postgraduate),Once a week,Yes,remain the same,may increase,remain the same,may increase,remain the same,may increase,may increase,may increase,may increase,may increase,may increase,very likely to increase,may increase,remain the same,remain the same,remain the same,665e3482ce6f4a9b35f68f9a,67c6dcdbfa914417536adf7c,665e3482ce6f4a9b35f68f9a,AWAITING REVIEW,Not Applicable,2025-03-04T10:58:38.946000Z,2025-03-04T11:01:51.558000Z,,2025-03-04T11:01:52.353048Z,193.0,"Thank you for taking the time to complete this survey. If you have any questions or concerns, please email zehong@um.edu.mo",181,"English, Spanish",Hinduism,Yes. Private only,35,Male,Asian,India,Spain,Spain,English,No,Full-Time
15,2025-03-04 05:59:20,2025-03-04 06:01:48,IP Address,188.88.235.231,100,147,True,2025-03-04 06:01:48,R_8BgC3fIDujdHpW9,,,,,51.3676,6.1248,anonymous,ZH-T,5d6ccfe1eeecbc0016213d93,unsure,graduate school (postgraduate),Once a few months,Yes,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,may increase,remain the same,may increase,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,5d6ccfe1eeecbc0016213d93,67c6dd01d8b6518cbed399a8,5d6ccfe1eeecbc0016213d93,AWAITING REVIEW,Not Applicable,2025-03-04T10:59:19.048000Z,2025-03-04T11:02:01.713000Z,,2025-03-04T11:02:02.401666Z,163.0,NOCODE,599,"English, Hindi, Dutch",Hinduism,Yes. Private only,43,Male,Asian,India,Netherlands,India,English,No,Full-Time
16,2025-03-04 06:00:56,2025-03-04 06:04:44,IP Address,92.233.133.38,100,227,True,2025-03-04 06:04:45,R_8KUwIcYRmVUjuYl,,,,,51.476,-0.4133,anonymous,ZH-T,676053e11c87d9eb7724f23c,strongly believe,graduate school (postgraduate),Once a week,Yes,remain the same,may increase,may decrease,may increase,may decrease,may increase,remain the same,may increase,definitely increase,very likely to increase,remain the same,remain the same,remain the same,remain the same,may decrease,may increase,676053e11c87d9eb7724f23c,67c6dd544d23be51eacc6574,676053e11c87d9eb7724f23c,AWAITING REVIEW,Not Applicable,2025-03-04T11:00:52.815000Z,2025-03-04T11:05:04.009000Z,,2025-03-04T11:05:04.694176Z,252.0,NOCODE,19,"English, Hindi",Hinduism,Yes. Both public and private,28,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
17,2025-03-04 05:55:50,2025-03-04 06:07:29,IP Address,194.39.218.19,100,699,True,2025-03-04 06:07:29,R_2xM28CKGHaNKpkK,,,,,48.767,9.1827,anonymous,ZH-T,5f247ac02b2b8805b6cce266,somewhat believe,graduate school (postgraduate),Once a few months,Yes,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,very likely to increase,remain the same,may increase,remain the same,remain the same,remain the same,remain the same,remain the same,may decrease,remain the same,5f247ac02b2b8805b6cce266,67c6dc2a42c84202d06adf74,5f247ac02b2b8805b6cce266,AWAITING REVIEW,Not Applicable,2025-03-04T10:55:48.309000Z,2025-03-04T11:08:21.171000Z,,2025-03-04T11:08:22.015780Z,753.0,NOCODE,1630,"English, German, Tamil",Hinduism,Yes. Private only,41,Male,Asian,India,Germany,India,English,Yes,Full-Time
18,2025-03-04 06:04:57,2025-03-04 06:08:09,IP Address,188.214.8.144,100,191,True,2025-03-04 06:08:09,R_26nxLLp9kwegaJg,,,,,51.5128,-0.0638,anonymous,ZH-T,6773d37bcfb206c15f09f168,somewhat disbelieve,undergraduate (college/University),Once a few months,Yes,remain the same,remain the same,very likely to decrease,very likely to increase,remain the same,remain the same,may increase,remain the same,definitely increase,very likely to increase,may increase,may increase,may increase,may increase,may decrease,may decrease,6773d37bcfb206c15f09f168,67c6de50df2375a33e8abfc4,6773d37bcfb206c15f09f168,AWAITING REVIEW,Not Applicable,2025-03-04T11:04:54.610000Z,2025-03-04T11:09:02.031000Z,,2025-03-04T11:09:02.690297Z,248.0,NOCODE,81,"English, Hindi",Hinduism,Yes. Both public and private,35,Male,Asian,India,United Kingdom,United Kingdom,English,No,Full-Time
19,2025-03-04 06:05:23,2025-03-04 06:08:54,IP Address,81.137.219.25,100,211,True,2025-03-04 06:08:55,R_8qkouAA3EaI4ALj,,,,,51.7219,0.4811,anonymous,ZH-T,67aa34015d2def3278e3ee41,somewhat believe,undergraduate (college/University),Once a few months,Yes,remain the same,remain the same,may decrease,may increase,remain the same,may increase,remain the same,remain the same,may increase,may increase,may increase,may increase,remain the same,remain the same,remain the same,remain the same,67aa34015d2def3278e3ee41,67c6de6738335f4f29edfee9,67aa34015d2def3278e3ee41,TIMED-OUT,Not Applicable,2025-03-04T11:05:19.377000Z,,,2025-03-05T04:13:32.257304Z,61693.0,,75,English,Hinduism,Yes. Private only,48,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
20,2025-03-04 06:09:36,2025-03-04 06:11:32,IP Address,81.137.219.25,100,116,True,2025-03-04 06:11:33,R_2QbdrhZunSJ8dbA,,,,,51.7219,0.4811,anonymous,ZH-T,67aa34015d2def3278e3ee41,somewhat believe,undergraduate (college/University),Once a few months,Yes,may decrease,remain the same,may decrease,remain the same,remain the same,remain the same,may increase,remain the same,may increase,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,67aa34015d2def3278e3ee41,67c6de6738335f4f29edfee9,67aa34015d2def3278e3ee41,TIMED-OUT,Not Applicable,2025-03-04T11:05:19.377000Z,,,2025-03-05T04:13:32.257304Z,61693.0,,75,English,Hinduism,Yes. Private only,48,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
21,2025-03-04 06:01:56,2025-03-04 06:10:02,IP Address,105.186.7.95,100,485,True,2025-03-04 06:10:02,R_8Lj7ZPXH1Mrc4OR,,,,,-26.2309,28.0583,anonymous,ZH-T,67922ecc7323cc3eac92023a,strongly believe,undergraduate (college/University),Daily or more,Yes,may increase,definitely increase,may decrease,definitely increase,definitely decrease,definitely increase,definitely increase,definitely increase,very likely to increase,definitely increase,definitely increase,definitely increase,remain the same,definitely increase,may decrease,definitely increase,67922ecc7323cc3eac92023a,67c6dce181cf1661af2c5bf5,67922ecc7323cc3eac92023a,AWAITING REVIEW,Not Applicable,2025-03-04T11:01:42.756000Z,2025-03-04T11:11:25.051000Z,,2025-03-04T11:11:25.541497Z,583.0,NOCODE,69,"English, Dutch, Hindi, Japanese, Portuguese, Other",Hinduism,Yes. Both public and private,19,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
22,2025-03-04 06:13:15,2025-03-04 06:16:42,IP Address,81.99.119.64,100,206,True,2025-03-04 06:16:43,R_2ZyUTmh7zTMz9xD,,,,,51.6141,-0.3362,anonymous,ZH-T,59cff8eed227970001199862,somewhat believe,undergraduate (college/University),2-3 times a year,Yes,remain the same,remain the same,very likely to decrease,very likely to decrease,very likely to decrease,very likely to decrease,definitely increase,very likely to increase,may increase,may increase,may increase,remain the same,remain the same,may increase,very likely to decrease,very likely to decrease,59cff8eed227970001199862,67c6e03d604e1997cf262c09,59cff8eed227970001199862,AWAITING REVIEW,Not Applicable,2025-03-04T11:13:12.547000Z,2025-03-04T11:18:16.639000Z,,2025-03-04T11:18:17.707218Z,305.0,NOCODE,4893,English,Hinduism,Yes. Private only,47,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
23,2025-03-04 06:18:23,2025-03-04 06:24:13,IP Address,117.242.107.175,100,349,True,2025-03-04 06:24:13,R_9lBLElweT2sqjQZ,,,,,9.2612,76.7833,anonymous,ZH-T,664b550820b57425a150d8e2,strongly believe,undergraduate (college/University),Daily or more,Yes,may decrease,may decrease,may decrease,may decrease,very likely to decrease,may decrease,definitely increase,very likely to increase,very likely to increase,definitely increase,definitely increase,very likely to increase,definitely increase,definitely increase,very likely to decrease,may increase,664b550820b57425a150d8e2,67c6dfd5e49007efcb31c696,664b550820b57425a150d8e2,AWAITING REVIEW,Not Applicable,2025-03-04T11:11:17.889000Z,2025-03-04T11:24:35.316000Z,,2025-03-04T11:24:36.154719Z,798.0,NOCODE,226,English,Hinduism,Yes. Private only,26,Male,Asian,India,India,India,Malayalam,No,Full-Time
24,2025-03-04 06:25:06,2025-03-04 06:27:19,IP Address,5.151.29.154,100,132,True,2025-03-04 06:27:20,R_2VgcHZDVqTIM7bq,,,,,52.4064,-1.5082,anonymous,ZH-T,6760560703124d0c4284abaf,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,may increase,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,definitely increase,may increase,remain the same,remain the same,may increase,remain the same,remain the same,remain the same,6760560703124d0c4284abaf,67c6e310eeb5f3289d0270cd,6760560703124d0c4284abaf,RETURNED,Not Applicable,2025-03-04T11:25:04.134000Z,,,2025-03-05T04:13:32.258764Z,,,65,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
25,2025-03-04 06:23:42,2025-03-04 06:28:35,IP Address,49.15.205.49,100,292,True,2025-03-04 06:28:35,R_9r0z1YGIQrDMbqv,,,,,17.3843,78.4583,anonymous,ZH-T,6606b31155457e4f162ecf5a,somewhat believe,undergraduate (college/University),Once a month,Yes,may decrease,very likely to decrease,definitely decrease,very likely to decrease,definitely decrease,may decrease,definitely increase,very likely to increase,may increase,remain the same,very likely to increase,very likely to increase,remain the same,remain the same,very likely to decrease,very likely to decrease,6606b31155457e4f162ecf5a,67c6e2a1712493fd7b2989f1,6606b31155457e4f162ecf5a,AWAITING REVIEW,Not Applicable,2025-03-04T11:23:39.045000Z,2025-03-04T11:29:34.063000Z,,2025-03-04T11:29:34.797887Z,356.0,NOCODE,545,"English, Hindi",Hinduism,Yes. Private only,30,Male,Asian,India,India,India,English,No,Full-Time
26,2025-03-04 06:29:00,2025-03-04 06:31:40,IP Address,82.7.97.142,100,159,True,2025-03-04 06:31:41,R_8c1RLSfz0UaQhY4,,,,,52.6513,-1.0876,anonymous,ZH-T,665dc2d6a61b315970a3b030,strongly believe,undergraduate (college/University),Almost never,Yes,definitely decrease,definitely decrease,definitely decrease,definitely decrease,definitely decrease,definitely decrease,may increase,may increase,may increase,may increase,may increase,may increase,may increase,may increase,definitely decrease,definitely decrease,665dc2d6a61b315970a3b030,67c6e3dbe1b016d546869886,665dc2d6a61b315970a3b030,AWAITING REVIEW,Not Applicable,2025-03-04T11:28:57.904000Z,2025-03-04T11:31:55.437000Z,,2025-03-04T11:31:56.247042Z,178.0,NOCODE,672,English,Hinduism,Yes. Private only,30,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
27,2025-03-04 06:29:02,2025-03-04 06:32:50,IP Address,5.151.135.89,100,227,True,2025-03-04 06:32:51,R_8CDQjNkRDHJwz9o,,,,,53.4096,-2.9792,anonymous,ZH-T,674a3732647cd3f356c19795,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,definitely increase,may decrease,very likely to increase,may decrease,very likely to increase,definitely increase,definitely increase,definitely increase,definitely increase,very likely to increase,very likely to increase,definitely increase,definitely increase,very likely to decrease,definitely increase,674a3732647cd3f356c19795,67c6e3ed59ef246b5ea1ef15,674a3732647cd3f356c19795,AWAITING REVIEW,Not Applicable,2025-03-04T11:29:00.731000Z,2025-03-04T11:33:05.432000Z,,2025-03-04T11:33:06.146184Z,245.0,NOCODE,102,"English, Hindi, Telugu, Punjabi, Tamil",Hinduism,Yes. Private only,24,Female,Asian,India,United Kingdom,India,English,Yes,Part-Time
28,2025-03-04 06:41:28,2025-03-04 06:47:04,IP Address,102.141.134.43,100,335,True,2025-03-04 06:47:05,R_8BlLK4knFtUG9hW,,,,,-26.2309,28.0583,anonymous,ZH-T,6510340132f0767fafc24283,somewhat disbelieve,undergraduate (college/University),Daily or more,Yes,may decrease,may decrease,definitely decrease,definitely decrease,definitely decrease,definitely decrease,definitely increase,definitely increase,may increase,may increase,definitely increase,definitely increase,remain the same,remain the same,definitely decrease,definitely decrease,6510340132f0767fafc24283,67c6e6c6a8b1719499b339fb,6510340132f0767fafc24283,AWAITING REVIEW,Not Applicable,2025-03-04T11:41:16.608000Z,2025-03-04T11:48:19.391000Z,,2025-03-04T11:48:20.023423Z,423.0,NOCODE,16,"Afrikaans, English",Hinduism,Yes. Private only,62,Male,Asian,South Africa,South Africa,South Africa,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
29,2025-03-04 06:33:24,2025-03-04 06:54:29,IP Address,41.193.87.65,100,1264,True,2025-03-04 06:54:30,R_1P04ySsnKNxP3Or,,,,,-26.2309,28.0583,anonymous,ZH-T,668ffb93b25dcfcfbe1836a4,somewhat believe,undergraduate (college/University),Once a week,Yes,remain the same,definitely increase,remain the same,may increase,remain the same,very likely to increase,very likely to increase,may increase,very likely to increase,may increase,definitely increase,definitely increase,may increase,very likely to increase,remain the same,may increase,668ffb93b25dcfcfbe1836a4,67c6e4bfdf082427da298d82,668ffb93b25dcfcfbe1836a4,AWAITING REVIEW,Not Applicable,2025-03-04T11:33:13.604000Z,2025-03-04T11:58:52.782000Z,,2025-03-04T11:58:53.817945Z,1540.0,NOCODE,29,English,Hinduism,Yes. Both public and private,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
30,2025-03-04 06:55:30,2025-03-04 06:57:36,IP Address,41.193.87.65,100,125,True,2025-03-04 06:57:36,R_1eyHIAkJWbOHlRh,,,,,-26.2309,28.0583,anonymous,ZH-T,668ffb93b25dcfcfbe1836a4,,,,,,,,,,,,,,,,,,,,,668ffb93b25dcfcfbe1836a4,67c6e4bfdf082427da298d82,668ffb93b25dcfcfbe1836a4,AWAITING REVIEW,Not Applicable,2025-03-04T11:33:13.604000Z,2025-03-04T11:58:52.782000Z,,2025-03-04T11:58:53.817945Z,1540.0,NOCODE,29,English,Hinduism,Yes. Both public and private,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
