,Submission id,Participant id,Status_x,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Religious affiliation,Fluent languages,Participation in regular religious activities,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,StartDate,EndDate,Status_y,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,1.1,1.2,1.3,Q33,4.1,4.2,8.1,8.2,5.1,5.2,6.1,6.2,7.1,7.2,3.1,3.2,10.1,10.2,9.1,9.2,PROLIFIC_PID
10,67c6b7320a6bcea1d2ba7630,60e579897ebd06b1537eb223,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:07.404000Z,2025-03-04T08:22:37.556000Z,,2025-03-04T08:22:38.230168Z,271.0,NOCODE,403,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,39,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:18:12,2025-03-04 03:22:18,IP Address,45.220.15.236,100,246,True,2025-03-04 03:22:19,R_8Z0vPwv9TCi4ck9,,,,,-25.757,28.1443,anonymous,ZH-T,60e579897ebd06b1537eb223,somewhat believe,graduate school (postgraduate),Daily or more,Yes,remain the same,definitely increase,remain the same,definitely increase,remain the same,definitely increase,very likely to increase,very likely to increase,remain the same,definitely increase,definitely increase,remain the same,may increase,very likely to increase,remain the same,stay the same,60e579897ebd06b1537eb223
11,67c6b7334e0dc866824f1f63,67c0df92d45fafc63e02fb66,AWAITING REVIEW,Not Applicable,2025-03-04T08:19:01.618000Z,2025-03-04T08:24:07.539000Z,,2025-03-04T08:24:08.312178Z,306.0,NOCODE,0,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,38,Female,White,United States,United States,United States,English,Yes,Part-Time,2025-03-04 03:19:06,2025-03-04 03:23:22,IP Address,223.29.147.140,100,255,True,2025-03-04 03:23:23,R_3YzYN0y6bNgmk5Z,,,,,37.751,-97.822,anonymous,ZH-T,67c0df92d45fafc63e02fb66,strongly believe,graduate school (postgraduate),Daily or more,Yes,remain the same,very likely to increase,may increase,very likely to increase,may decrease,remain the same,remain the same,very likely to increase,may increase,very likely to increase,remain the same,remain the same,very likely to increase,very likely to increase,remain the same,stay the same,67c0df92d45fafc63e02fb66
12,67c6b7345cf10be090bd9f53,66a93d22605b24790c435be2,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:34.295000Z,2025-03-04T08:25:18.952000Z,,2025-03-04T08:25:19.976818Z,405.0,NOCODE,66,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:18:53,2025-03-04 03:24:03,IP Address,41.150.248.169,100,310,True,2025-03-04 03:24:04,R_8304H95p9eZTVeN,,,,,-25.757,28.1443,anonymous,ZH-T,66a93d22605b24790c435be2,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,very likely to increase,remain the same,very likely to increase,remain the same,very likely to increase,may increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,definitely increase,definitely increase,remain the same,may increase,66a93d22605b24790c435be2
13,67c6b73a1e68171c0f8afab8,60fa7628023c88195f68529c,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:02.011000Z,2025-03-04T08:21:11.333000Z,,2025-03-04T08:21:12.075554Z,190.0,NOCODE,208,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,2025-03-04 03:18:04,2025-03-04 03:20:54,IP Address,105.27.151.238,100,170,True,2025-03-04 03:20:55,R_2bQohE5iXUfHbbH,,,,,-26.0993,27.9818,anonymous,ZH-T,60fa7628023c88195f68529c,strongly believe,graduate school (postgraduate),Daily or more,Yes,definitely increase,definitely increase,may increase,very likely to increase,remain the same,very likely to increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,remain the same,may decrease,60fa7628023c88195f68529c
14,67c6b74495e8a7be6e4247f5,61729efb933d4aea1a764444,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:19.229000Z,2025-03-04T08:23:45.845000Z,,2025-03-04T08:23:46.439946Z,327.0,NOCODE,394,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:18:23,2025-03-04 03:22:48,IP Address,41.13.122.205,100,265,True,2025-03-04 03:22:49,R_8QlsKFt3HwlCRup,,,,,-25.757,28.1443,anonymous,ZH-T,61729efb933d4aea1a764444,strongly believe,graduate school (postgraduate),Once a week,Yes,remain the same,may increase,may decrease,remain the same,remain the same,remain the same,may increase,remain the same,may increase,remain the same,very likely to increase,may increase,may increase,may increase,may decrease,stay the same,61729efb933d4aea1a764444
15,67c6b74597f6ed95c89400f0,65fade150af92e8a2d1c7cab,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:17.854000Z,2025-03-04T08:24:03.306000Z,,2025-03-04T08:24:04.009803Z,346.0,NOCODE,90,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, Swahili",Yes. Both public and private,30,Female,Black,Kenya,Kenya,Kenya,English,No,Full-Time,2025-03-04 03:18:20,2025-03-04 03:23:27,IP Address,129.222.187.235,100,306,True,2025-03-04 03:23:28,R_8mizGjLff16rItP,,,,,-1.2841,36.8155,anonymous,ZH-T,65fade150af92e8a2d1c7cab,strongly believe,undergraduate (college/University),Daily or more,Yes,may increase,very likely to increase,remain the same,very likely to increase,remain the same,very likely to increase,definitely increase,very likely to increase,definitely increase,very likely to increase,definitely increase,definitely increase,definitely increase,very likely to increase,remain the same,definitely increase,65fade150af92e8a2d1c7cab
16,67c6b7481025bf4223d80f9c,672bcd37760518a349eb72c5,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:57.474000Z,2025-03-04T08:24:45.523000Z,,2025-03-04T08:24:46.224552Z,349.0,NOCODE,1,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Afrikaans, English, Dutch, French, Hebrew",Yes. Both public and private,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,2025-03-04 03:22:00,2025-03-04 03:23:50,IP Address,196.21.157.2,100,109,True,2025-03-04 03:23:50,R_7qjVoZURfdR49W6,,,,,-26.7005,27.8179,anonymous,ZH-T,672bcd37760518a349eb72c5,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,may increase,remain the same,very likely to increase,may increase,may decrease,definitely increase,may increase,very likely to increase,may increase,very likely to increase,definitely increase,may increase,very likely to increase,remain the same,may increase,672bcd37760518a349eb72c5
17,67c6b749af08f9bd1b3fb303,6612e7f231d13a67b8e758cc,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:17.761000Z,2025-03-04T08:25:38.452000Z,,2025-03-04T08:25:39.250000Z,441.0,NOCODE,170,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,2025-03-04 03:18:27,2025-03-04 03:25:06,IP Address,41.150.34.173,100,398,True,2025-03-04 03:25:07,R_8EZfqtAkyIoAILw,,,,,-26.2309,28.0583,anonymous,ZH-T,6612e7f231d13a67b8e758cc,strongly believe,undergraduate (college/University),Once a few months,Yes,remain the same,may increase,remain the same,very likely to increase,remain the same,very likely to increase,may increase,very likely to increase,definitely increase,definitely increase,definitely increase,definitely increase,very likely to increase,very likely to increase,remain the same,may increase,6612e7f231d13a67b8e758cc
18,67c6b749b06a150ee95ed20b,616657d3063dd77f0ad2b866,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:23.246000Z,2025-03-04T08:23:50.042000Z,,2025-03-04T08:23:50.907622Z,327.0,NOCODE,405,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,24,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,2025-03-04 03:18:25,2025-03-04 03:23:31,IP Address,152.110.196.12,100,305,True,2025-03-04 03:23:31,R_8e9Bsr4ZrGMX9fo,,,,,-33.9258,18.4259,anonymous,ZH-T,616657d3063dd77f0ad2b866,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,definitely increase,very likely to decrease,definitely increase,definitely decrease,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,very likely to increase,very likely to increase,may increase,may increase,definitely increase,definitely increase,616657d3063dd77f0ad2b866
19,67c6b74d1976ecf4488afac5,65fc20bba1c03ebcbe654108,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:30.461000Z,2025-03-04T08:23:40.512000Z,,2025-03-04T08:23:41.039942Z,311.0,NOCODE,117,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, Swahili",Yes. Both public and private,25,Female,Black,Kenya,Kenya,Kenya,English,No,Part-Time,2025-03-04 03:19:25,2025-03-04 03:23:03,IP Address,102.219.208.154,100,218,True,2025-03-04 03:23:03,R_2zjPWWHlKvjjGMU,,,,,-1.2841,36.8155,anonymous,ZH-T,65fc20bba1c03ebcbe654108,strongly believe,undergraduate (college/University),Once a few months,Yes,remain the same,may increase,remain the same,very likely to increase,remain the same,very likely to increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,may decrease,may increase,65fc20bba1c03ebcbe654108
20,67c6b74da1883d376250e575,66c530ba88b4d37167d240c3,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:36.189000Z,2025-03-04T08:25:23.758000Z,,2025-03-04T08:25:24.491956Z,408.0,NOCODE,67,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Other, English",Yes. Both public and private,31,Female,Black,South Africa,South Africa,South Africa,Other,Yes,Part-Time,2025-03-04 03:18:42,2025-03-04 03:24:49,IP Address,196.50.225.99,100,366,True,2025-03-04 03:24:49,R_8kFCdLAB73SjM5d,,,,,-26.2309,28.0583,anonymous,ZH-T,66c530ba88b4d37167d240c3,strongly believe,undergraduate (college/University),Daily or more,Yes,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,,definitely increase,definitely increase,definitely increase,definitely increase,very likely to increase,definitely increase,definitely increase,very likely to increase,66c530ba88b4d37167d240c3
21,67c6b7538c5d1637a91c70c7,669a684d0b8ba7337037c867,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:37.613000Z,2025-03-04T08:23:50.311000Z,,2025-03-04T08:23:50.951816Z,313.0,NOCODE,53,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,2025-03-04 03:18:40,2025-03-04 03:22:58,IP Address,41.13.124.6,100,257,True,2025-03-04 03:22:59,R_8sgnkf4PHu04F9L,,,,,-25.757,28.1443,anonymous,ZH-T,669a684d0b8ba7337037c867,strongly believe,undergraduate (college/University),Once a week,Yes,remain the same,definitely increase,may decrease,may increase,very likely to decrease,very likely to decrease,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,may decrease,may decrease,669a684d0b8ba7337037c867
22,67c6b75439d332eaf4bc54af,5e823b35726b2a9508db127c,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:28.598000Z,2025-03-04T08:23:59.329000Z,,2025-03-04T08:24:00.142069Z,331.0,NOCODE,919,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, Italian",Yes. Both public and private,27,Male,White,Italy,Switzerland,Italy,Italian,No,Part-Time,2025-03-04 03:18:31,2025-03-04 03:23:43,IP Address,89.206.81.161,100,312,True,2025-03-04 03:23:44,R_8WItxarheg8cKBD,,,,,47.3976,8.5442,anonymous,ZH-T,5e823b35726b2a9508db127c,strongly believe,graduate school (postgraduate),Once a week,Yes,remain the same,may increase,remain the same,may increase,remain the same,may increase,remain the same,may increase,remain the same,may increase,remain the same,remain the same,remain the same,remain the same,remain the same,may increase,5e823b35726b2a9508db127c
23,67c6b75a971cb7a5b49ae229,615c11bf1ff408683aa99d98,AWAITING REVIEW,Not Applicable,2025-03-04T08:19:00.457000Z,2025-03-04T08:32:36.799000Z,,2025-03-04T08:32:37.904907Z,817.0,NOCODE,117,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, Other",Yes. Both public and private,26,Male,Black,South Africa,South Africa,South Africa,Other,No,Full-Time,2025-03-04 03:19:22,2025-03-04 03:31:40,IP Address,41.144.65.175,100,737,True,2025-03-04 03:31:41,R_2hsStYDwqu7XbSY,,,,,-29.8553,31.0428,anonymous,ZH-T,615c11bf1ff408683aa99d98,somewhat disbelieve,graduate school (postgraduate),2-3 times a year,Yes,may decrease,may decrease,very likely to decrease,may decrease,may decrease,may decrease,definitely increase,definitely increase,very likely to increase,very likely to increase,may increase,may increase,remain the same,may increase,may decrease,may increase,615c11bf1ff408683aa99d98
24,67c6b75af0235043f04c72f2,667d80e9999f7d4918f9fc94,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:53.478000Z,2025-03-04T08:29:00.862000Z,,2025-03-04T08:29:01.553542Z,608.0,NOCODE,110,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,25,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking),2025-03-04 03:18:59,2025-03-04 03:28:29,IP Address,41.116.11.4,100,569,True,2025-03-04 03:28:31,R_8z0oMVH75viDpGV,,,,,-26.2309,28.0583,anonymous,ZH-T,667d80e9999f7d4918f9fc94,strongly believe,high school,2-3 times a year,Yes,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,667d80e9999f7d4918f9fc94
25,67c6b75c865053d9996652bc,667b36b12514f6d414da6be3,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:43.840000Z,2025-03-04T08:26:03.749000Z,,2025-03-04T08:26:04.485822Z,440.0,NOCODE,90,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,23,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,2025-03-04 03:18:48,2025-03-04 03:25:38,IP Address,196.250.230.17,100,410,True,2025-03-04 03:25:39,R_2LFDF6JvWODtHi9,,,,,-26.2309,28.0583,anonymous,ZH-T,667b36b12514f6d414da6be3,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,definitely increase,remain the same,definitely increase,remain the same,definitely increase,remain the same,definitely increase,remain the same,definitely increase,remain the same,definitely increase,remain the same,definitely increase,remain the same,definitely increase,667b36b12514f6d414da6be3
26,67c6b75fbe594cc951f57e3a,67ab0f09928f271763628cfe,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:52.878000Z,2025-03-04T08:32:43.701000Z,,2025-03-04T08:32:44.351824Z,831.0,NOCODE,2,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Afrikaans, English, Other",Yes. Both public and private,43,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,2025-03-04 03:23:19,2025-03-04 03:31:34,IP Address,102.214.117.109,100,495,True,2025-03-04 03:31:34,R_8MLgmuMfI46YiM9,,,,,-33.9303,18.8456,anonymous,ZH-T,67ab0f09928f271763628cfe,strongly believe,graduate school (postgraduate),Once a week,Yes,remain the same,may increase,remain the same,may increase,remain the same,may increase,may increase,may increase,definitely increase,very likely to increase,may increase,may increase,remain the same,remain the same,remain the same,may increase,67ab0f09928f271763628cfe
27,67c6b7603cc6314190f70868,611ce44efa3822c780ae383e,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:40.990000Z,2025-03-04T08:23:52.514000Z,,2025-03-04T08:23:53.160867Z,312.0,NOCODE,420,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,42,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:18:47,2025-03-04 03:23:37,IP Address,137.215.174.181,100,290,True,2025-03-04 03:23:37,R_8faWYNLgpqKGI5r,,,,,-25.757,28.1443,anonymous,ZH-T,611ce44efa3822c780ae383e,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,remain the same,remain the same,very likely to increase,remain the same,very likely to increase,definitely increase,definitely increase,definitely increase,definitely increase,remain the same,remain the same,remain the same,remain the same,remain the same,very likely to increase,611ce44efa3822c780ae383e
